Country,City,Code
 Denmark ,Aalborg,AAL
 Norway ,Aalesund,AES
 Denmark - Bus service ,Aarhus,ZID
 Denmark - Tirstrup ,Aarhus,AAR
 Greenland ,Aasiaat,JEG
 Iran ,Abadan,ABD
 Russia ,Abakan,ABA
 BC ,Abbotsford,YXX
 SD ,Aberdeen,ABR
 United Kingdom ,Aberdeen,ABZ
 Saudi Arabia ,Abha,AHB
 Cote d'Ivoire ,Abidjan,ABJ
 TX ,Abilene,ABI
 United Arab Emirates ,Abu Dhabi,AUH
 Egypt ,Abu Simbel,ABS
 Nigeria ,Abuja,ABV
 Mexico ,Acapulco,ACA
 Venezuela ,Acarigua,AGV
 Ghana ,Accra,ACC
 AK ,Adak Island,ADK
 Turkey ,Adana,ADA
 Ethopia ,Addis Ababa,ADD
 Australia ,Adelaide,ADL
 Yemen ,Aden,ADE
 Russia ,Adler/Sochi,AER
 Algeria ,Adrar,AZR
 Soloman Islands ,Afutara,AFT
 Morocco ,Agadir,AGA
 India ,Agartala,IXA
 Papua New Guinea ,Agaun,AUP
 France ,Agen,AGF
 India ,Agra,AGR
 Turkey ,Agri,AJI
 Puerto Rico ,Aguadilla,BQN
 Mexico ,Aguascalientes,AGU
 Japan ,Aguni,AGJ
 India ,Ahmedabad,AMD
 Iran ,Ahwaz,AWZ
 Marshall Islands ,Ailuk Island,AIM
 Mauritania ,Aioun El Atrouss,AEO
 Marshall Islands ,Airok,AIC
 Cook Islands ,Aitutaki,AIT
 India ,Aizawl,AJL
 France ,Ajaccio,AJA
 AK ,Akiachak,KKI
 AK ,Akiak,AKI
 Japan ,Akita,AXT
 OH ,Akron/Canton,CAK
 China ,Aksu,AKU
 Kazakhstan ,Aktyubinsk,AKX
 QC ,Akulivik,AKV
 Iceland ,Akureyri,AEY
 AK ,Akuton,KQA
 United Arab Emirates ,Al Ain,AAN
 Egypt ,Al Arish,AAC
 Yemen ,Al Ghaydah,AAY
 Morocco ,Al Hoceima,AHU
 AK ,Alakanuk,AUK
 NM ,Alamogordo,ALM
 CO ,Alamosa,ALS
 Saudi Arabia ,Al-Baha,ABT
 NY ,Albany,ALB
 OR - Bus service ,Albany,CVO
 OR - Bus service ,Albany,QWY
 NM ,Albuquerque,ABQ
 Australia ,Albury,ABX
 United Kingdom ,Alderney,ACI
 ON - Rail service ,Aldershot,XLY
 AK ,Aleknagik,WKK
 Syrian Arab Republic ,Aleppo,ALP
 South Africa ,Alexander Bay,ALJ
 Egypt ,Alexandria,ALY
 LA ,Alexandria,AEX
ON - Rail service ,Alexandria,XFS
 Greece ,Alexandroupolis,AXD
 United Arab Emirates ,Al-Fujairah,FJR
 Italy ,Alghero,AHO
 Algeria ,Algiers,ALG
 Spain ,Alicante,ALC
 Australia ,Alice Springs,ASP
 AK ,Allakaket,AET
 PA ,Allentown,ABE
 NE ,Alliance,AIA
 QC ,Alma,YTF
 Kazakhstan ,Almaty,AKX
 Spain ,Almeria,LEI
 Indonesia ,Alor Island,ARD
 Malaysia ,Alorsetar,AOR
 Papua New Guinea ,Alotau,GUR
 MI ,Alpena,APN
 Norway ,Alta,ALF
 Brazil ,Altamira,ATM
 China ,Altay,AAT
 Switzerland ,Altenrhein,ACH
 Argentina ,Alto Rio Senguerr,ARR
 PA ,Altoona,AOO
 Japan ,Amami O Shima,ASJ
 TX ,Amarillo,AMA
 Papua New Guinea ,Amazon Bay,AZB
 Madagascar ,Ambanja,IVA
 Madagascar ,Ambatomainty,AMY
 Madagascar ,Ambatondrazaka,WAM
 AK ,Ambler,ABL
 Indonesia ,Ambon,AMQ
 Kenya ,Amboseli,ASV
 Russia ,Amderma,AMV
 Jordan - Civil/Marka Airport ,Amman,ADJ
 Jordan - Queen Alia International ,Amman,AMM
 India ,Amritsar,ATQ
 Netherlands ,Amsterdam,AMS
 Russia ,Anadyr,DYR
 BC ,Anahim Lake,YAA
 AK ,Anaktueuk,AKP
 Madagascar ,Analalava,HVA
 Russia ,Anapa,AAQ
 AK ,Anchorage,ANC
 Italy ,Ancona,AOI
 Norway ,Andenes,ANX
 Uzbekistan ,Andizhan,AZN
 Vanuatu ,Aneityum,AUY
 Sweden ,Angelholm/Helsingborg,JHE
 France - Marce ,Angers,ANE
 France - Rail service ,Angers,QXG
 Indonesia ,Anggi,AGD
 China ,Anging,AQG
 ON ,Angling Lake,YAX
 AK ,Angoon,AGN
 France ,Angouleme,ANG
 Anguilla ,Anguilla,AXA
 AK ,Aniak,ANI
 Vanuatu ,Aniwa,AWD
 China ,Ankang,AKA
 Turkey - Esenboga ,Ankara,ESB
 Turkey - Etimesqut ,Ankara,ANK
 Madagascar ,Ankavandra,JVA
 Algeria ,Annaba,AAE
 France ,Annecy,NCY
 Madagascar ,Antalaha,ANM
 Turkey ,Antalya,AYT
 Madgascar ,Antaninvarivo,TNR
 Antigua and Barbuda ,Antigua,ANU
 Chile ,Antofagasta,ANF
 Madagascar ,Antsalova,WAQ
 Madagascar ,Antsiranana,DIE
 Madagascar ,Antsohihy,WAI
 Belgium - Bus service ,Antwerp,ZAY
 Belgium - Deurne Airport ,Antwerp,ANR
 AK ,Anvik,ANV
 Japan ,Aomori,AOJ
 Italy ,Aosta,AOT
 Colombia ,Apartado,APO
 Western Samoa ,Apia,APW
 Western Samoa ,Apia,FGI
 WI ,Appleton,ATW
 Jordan ,Aqaba,AQJ
 Brazil ,Araca,AJU
 Brazil ,Aracatuba,ARU
 Romania ,Arad,ARW
 Papua New Guinea ,Aragip,ARP
 Brazil ,Araguaina,AUX
 Brazil ,Arapoti,AAG
 Saudi Arabia ,Arar,RAE
 Colombia ,Arauca,AUC
 Ethiopia ,Arba Mintch,AMH
 CA ,Arcata,ACV
 NU ,Arctic Bay,YAB
 AK ,Arctic Village,ARC
 Iran ,Ardabil,ADU
 Peru ,Arequipa,AQP
 Sweden ,Argelholm/Helsingborg,AGH
 Australia ,Argyle,GYL
 Chile ,Arica,ARI
 Russia ,Arkangelsk,ARH
 Colombia ,Armenia,AXM
 Australia ,Armidale,ARM
 Bahamas ,Arthur's Town,ATC
 Uganda ,Arua,RUA
 Aruba ,Aruba,AUA
 Tanzania ,Arusha,ARK
 NU ,Arviat,YEK
 Sweden ,Arvidsjaur,AJR
 Japan ,Asahikawa,AKJ
 NC ,Asheville,AVL
 Turkmenistan ,Ashgabat,ASB
 KY/Huntington,Ashland,HTS
 Eritrea ,Asmara,ASM
 Ethopia ,Asosa,ASO
 CO ,Aspen,ASE
 Egypt ,Assiut,ATZ
 Kazakhstan ,Astana,TSE
 Russia ,Astrakhan,ASF
 Spain and Canary Islands ,Asturias,OVD
 Paraguay ,Asuncion,ASU
 Egypt ,Aswan,ASW
 Yemen ,Ataq,AXK
 GA ,Athens,AHN
 Greece ,Athens,ATH
 Cook Islands ,Atiu Island,AIU
 AK ,Atka,AKB
 GA ,Atlanta,ATL
 NJ ,Atlantic City,AIY
 Solomon Islands ,Atoifi,ATD
 AK ,Atqasuk,ATK
 ON ,Attawapiskat,YAT
 French Polynesia ,Atuona,AUQ
 Kazakhstan ,Atyrau,GUW
 New Zealand ,Auckland,AKL
 Germany ,Augsburg/Munich,AGB
 GA ,Augusta,AGS
 ME ,Augusta,AUG
 Solomon Islands ,Auki,AKS
 QC ,Aupaluk,YPJ
 Marshall Islands ,Aur Island,AUL
 India ,Aurangabad,IXU
 France ,Aurillac,AUR
